"dataset","scenario","ess_quantile","candidate_ess","is_ess","max_abs_diff","is_selection","mcmc_selection","selection_agrees","max_rhat","min_mcmc_ess","mean_accept"
"Sc1_q10",1,0.1,128.012035512764,141.22859180218,0.0441858521080756,4,4,TRUE,1.0001798674658,1446.0782700733,0.306255
"Sc1_q50",1,0.5,496.230692867272,539.864353128644,0.00483363498290601,3,3,TRUE,1.00098809628475,1536.75197586309,0.32766
"Sc2_q10",2,0.1,55.2112544370738,55.6117607460341,0.0163132040762193,4,4,TRUE,1.00177180371522,3078.55042109977,0.354195
"Sc2_q50",2,0.5,578.298624089403,562.049451849242,0.00305260613484404,3,3,TRUE,1.00277128864412,1288.93480230852,0.318
"Sc5_q10",5,0.1,8.02568109164761,10.2013033381516,0.0151352405447495,5,5,TRUE,1.00069494628164,6671.94048095491,0.332375
"Sc5_q50",5,0.5,40.5057080972787,35.2186202455924,0.0346746594221617,4,4,TRUE,1.00048705964132,2698.99070999232,0.33129
"Sc10_q10",10,0.1,435.508686338881,442.278380566081,0.00217758321238448,3,3,TRUE,1.00236656986536,1157.57798066995,0.349625
"Sc10_q50",10,0.5,819.469481850601,807.07718971044,0.00830412868281538,3,3,TRUE,1.00494137284886,1283.16509578389,0.331375
